id_min|id_max|masters
37733|170329|272392
170329|251690|272392
170329|251688|272392
37737|170329|272392
37733|251690|272392
37733|251688|272392
37733|37737|272392
251688|251690|272392
37737|251690|272392
37737|251688|272392
257251|264870|72372
135873|264870|72372
264870|264872|72372
264870|264871|72372
55745|264870|72372
135873|257251|72372
257251|264872|72372
257251|264871|72372
55745|257251|72372
135873|264872|72372,239686
135873|264871|72372
55745|135873|72372
264871|264872|72372
55745|264872|72372
55745|264871|72372
229498|259080|269219
259080|260721|269219
259080|259083|269219
259080|259082|269219
229498|260721|269219
229498|259083|269219
229498|259082|269219
259083|260721|269219
259082|260721|269219
259082|259083|269219
228917|307700|178116
10096|307700|178116
265629|307700|178116
149254|307700|178116
10096|228917|178116
228917|265629|178116,956194
149254|228917|178116
10096|265629|178116
10096|149254|178116
149254|265629|178116
169989|343046|332128
104673|169989|332128
104673|343046|332128
268270|295777|372610
253065|295777|372610
253065|268270|372610
122384|255979|345035
10589|122384|345035
122384|261196|345035,467193
122384|272016|345035
45107|122384|345035,467193
122384|179055|345035,467193
10589|255979|345035
255979|261196|345035
255979|272016|345035
45107|255979|345035
179055|255979|345035
10589|261196|345035
10589|272016|345035
10589|45107|345035
10589|179055|345035
261196|272016|345035,932852
45107|261196|345035,467193
179055|261196|345035,467193
45107|272016|345035
179055|272016|345035
45107|179055|345035,467193
253777|427125|478942
253777|339536|478942
253777|320757|478942
339536|427125|478942,538759
320757|427125|478942
320757|339536|478942
251873|257423|358601
135885|251873|358601
251873|255116|358601
135885|257423|358601
255116|257423|358601
135885|255116|358601
255767|675733|360943
675733|1036933|360943
252308|675733|360943
255767|1036933|360943
252308|255767|360943
252308|1036933|360943
122384|254176|467193
122384|260727|467193
20956|122384|467193
254176|261196|467193
254176|260727|467193
45107|254176|467193
179055|254176|467193
20956|254176|467193
260727|261196|467193
20956|261196|467193
45107|260727|467193
179055|260727|467193
20956|260727|467193
20956|45107|467193
20956|179055|467193
261196|284423|338632
29992|284423|338632
29992|261196|338632
328233|349804|159690
294393|349804|159690
294393|328233|159690
275048|1755482|956194
258461|275048|956194
253445|275048|956194
10589|275048|956194
135885|275048|956194
275048|302497|956194
228917|275048|956194
275048|372362|956194
275048|302498|956194
275048|302500|956194
200784|275048|956194
267186|275048|956194
275048|341576|956194
265629|275048|956194
275048|302492|956194
275048|298943|956194
251778|275048|956194
258461|1755482|956194
253445|1755482|956194
10589|1755482|956194
135885|1755482|956194
302497|1755482|956194
228917|1755482|956194
372362|1755482|956194
302498|1755482|956194
302500|1755482|956194
200784|1755482|956194
267186|1755482|956194
341576|1755482|956194
265629|1755482|956194
302492|1755482|956194
298943|1755482|956194
251778|1755482|956194
253445|258461|956194
10589|258461|956194
135885|258461|956194
258461|302497|956194
228917|258461|956194
258461|372362|956194
258461|302498|956194
258461|302500|956194
200784|258461|956194
258461|267186|956194
258461|341576|956194
258461|265629|956194
258461|302492|956194
258461|298943|956194
251778|258461|956194
10589|253445|956194
135885|253445|956194
253445|302497|956194
228917|253445|956194
253445|372362|956194
253445|302498|956194
253445|302500|956194
200784|253445|956194
253445|267186|956194
253445|341576|956194
253445|265629|956194
253445|302492|956194
253445|298943|956194
251778|253445|956194
10589|135885|956194
10589|302497|956194
10589|228917|956194
10589|372362|956194
10589|302498|956194
10589|302500|956194
10589|200784|956194
10589|267186|956194
10589|341576|956194
10589|265629|956194
10589|302492|956194
10589|298943|956194
10589|251778|956194
135885|302497|956194
135885|228917|956194
135885|372362|956194
135885|302498|956194
135885|302500|956194
135885|200784|956194
135885|267186|956194
135885|341576|956194
135885|265629|956194
135885|302492|956194
135885|298943|956194
135885|251778|956194
228917|302497|956194
302497|372362|956194
302497|302498|956194
302497|302500|956194
200784|302497|956194
267186|302497|956194
302497|341576|956194
265629|302497|956194
302492|302497|956194
298943|302497|956194
251778|302497|956194
228917|372362|956194
228917|302498|956194
228917|302500|956194
200784|228917|956194
228917|267186|956194
228917|341576|956194
228917|302492|956194
228917|298943|956194
228917|251778|956194
302498|372362|956194
302500|372362|956194
200784|372362|956194
267186|372362|956194
341576|372362|956194
265629|372362|956194,544618
302492|372362|956194
298943|372362|956194
251778|372362|956194,544618
302498|302500|956194
200784|302498|956194
267186|302498|956194
302498|341576|956194
265629|302498|956194
302492|302498|956194
298943|302498|956194
251778|302498|956194
200784|302500|956194
267186|302500|956194
302500|341576|956194
265629|302500|956194
302492|302500|956194
298943|302500|956194
251778|302500|956194
200784|267186|956194
200784|341576|956194
200784|265629|956194
200784|302492|956194
200784|298943|956194
200784|251778|956194
267186|341576|956194,631400
265629|267186|956194
267186|302492|956194
267186|298943|956194
251778|267186|956194,631400
265629|341576|956194
302492|341576|956194
298943|341576|956194
251778|341576|956194,631400
265629|302492|956194
265629|298943|956194
251778|265629|956194,544618,522997
298943|302492|956194
251778|302492|956194
251778|298943|956194
259092|335496|273390
259074|335496|273390
335496|358833|273390
335496|524237|273390
252310|335496|273390
335496|547173|273390
259089|335496|273390
259074|259092|273390
