id|name|thumb_image|main_image|is_performer
170329|Paul Desmond|https://i.discogs.com/wYJBkQFmMalMwCIPUADc1war9050PFyryT5wp7C8QaE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE3MDMy/OS0xNTk2MDY1MzA4/LTc1NjIuanBlZw.jpeg|https://i.discogs.com/Wwx47KWnKz-mOZi8v63cBhAyZiZ_A_JJDE6ORJdc8O8/rs:fit/g:sm/q:90/h:732/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE3MDMy/OS0xNTk2MDY1MzA4/LTc1NjIuanBlZw.jpeg|1
37733|Gerry Mulligan|https://i.discogs.com/oEBwf6ncTTobCNaQy98bTBDymz5I9iuZd3ngshTOhL4/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM3NzMz/LTE2NDc4MTAzMjct/NjQ4Ni5qcGVn.jpeg|https://i.discogs.com/4AF0yL8xbHt2d-7zpkIUiAEOSEFBbZ-TWPOWhEuT8Q8/rs:fit/g:sm/q:90/h:623/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM3NzMz/LTE2NDc4MTAzMjct/NjQ4Ni5qcGVn.jpeg|1
251690|Jack Six|||1
1846418|Stanislaw Zagorski|https://i.discogs.com/O1lqLVUQVbWvXdL4oh2lCeDzxyWFijODxNVgBIjNs0s/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE4NDY0/MTgtMTU4OTU2MzYy/Ni04MjY1LmpwZWc.jpeg|https://i.discogs.com/9PLTZmuUYPaSUmxb3HWHC71-6AQQ4DzQsi37uo4_sDc/rs:fit/g:sm/q:90/h:798/w:458/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE4NDY0/MTgtMTU4OTU2MzYy/Ni04MjY1LmpwZWc.jpeg|0
251688|Alan Dawson|https://i.discogs.com/Cl8P211RKz_4mEaqRs8FSLNM7E5D15oFShE_ODcZAzI/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1MTY4/OC0xMTI2MDE1MzEy/LmpwZWc.jpeg|https://i.discogs.com/o1r-hptzQpNfML8gTiWm5vH2smlTCQWJIl1KOeCIAm4/rs:fit/g:sm/q:90/h:567/w:450/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI1MTY4/OC0xMTI2MDE1MzEy/LmpwZWc.jpeg|1
76038|Ilhan Mimaroglu|https://i.discogs.com/-7JSF6Xw4Pi0NNGnLrsqMcUFL6iWqPhWmNZ_wktoISk/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTc2MDM4/LTExNDQwODc5OTku/anBlZw.jpeg|https://i.discogs.com/Rc7Z3z7KuDb6IsUE8Bi7ArYpFdEAwDF8EYZfQCUZHw0/rs:fit/g:sm/q:90/h:377/w:252/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTc2MDM4/LTExNDQwODc5OTku/anBlZw.jpeg|0
1939104|David Redfern|https://i.discogs.com/KLwk_Q3-hF-6lWZQErRBlCon1pog1_sgxges0VvKMws/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE5Mzkx/MDQtMTMxNDM4NjYw/OC5qcGVn.jpeg|https://i.discogs.com/kn9KuhfbPC5a8EljOMrU90wglYUIdJ8pIYPsz5Fq3nQ/rs:fit/g:sm/q:90/h:252/w:228/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE5Mzkx/MDQtMTMxNDM4NjYw/OC5qcGVn.jpeg|0
37737|Dave Brubeck|https://i.discogs.com/6l1T2N8QE_uT_KyDrFkQRhzDwLKsq10oYfTmOWw88RM/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM3NzM3/LTExNTgwNTc0NDQu/anBlZw.jpeg|https://i.discogs.com/C8kGOLfp9RBstiZAIp6aOSt9ZmFnP0nL2rXUAVaRwIU/rs:fit/g:sm/q:90/h:519/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTM3NzM3/LTExNTgwNTc0NDQu/anBlZw.jpeg|1
288876|Siegfried E. Loch|||0
264870|Larry Ridley|https://i.discogs.com/niiZNnB6jW6JjwFlQi6y_J-mzHsk3Dv7JW11aarp5zc/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2NDg3/MC0xNjAyNjkxNTIw/LTgzNDEucG5n.jpeg|https://i.discogs.com/EJ33P02o8wqiCJ0hY_tgbrhRWUEYNNGETil7G9umf_Y/rs:fit/g:sm/q:90/h:590/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTI2NDg3/MC0xNjAyNjkxNTIw/LTgzNDEucG5n.jpeg|1
